species,growth_form,habitat
Syagrus_caerulescens,acaulescent,seasonally dry
Syagrus_petraea,acaulescent,seasonally dry
Syagrus_cerqueirana,non-acaulescent,seasonally dry
Syagrus_allagopteroides,acaulescent,seasonally dry
Syagrus_rupicola,acaulescent,seasonally dry
Syagrus_macrocarpa,non-acaulescent,seasonally dry
Syagrus_minor,acaulescent,seasonally dry
Syagrus_yungasensis,non-acaulescent,seasonally dry
Syagrus_cardenasii,non-acaulescent,seasonally dry
Syagrus_mendanhensis,acaulescent,seasonally dry
Syagrus_loefgrenii,acaulescent,seasonally dry
Syagrus_glaucescens,non-acaulescent,seasonally dry
Syagrus_glazioviana,non-acaulescent,seasonally dry
Syagrus_gouveiana,non-acaulescent,seasonally dry
Syagrus_duartei,acaulescent,seasonally dry
Syagrus_evansiana,acaulescent,seasonally dry
Syagrus_comosa,non-acaulescent,seasonally dry
Syagrus_picrophylla,non-acaulescent,rainforest
Syagrus_oleracea,non-acaulescent,seasonally dry
Syagrus_kellyana,non-acaulescent,rainforest
Syagrus_lorenzoniorum,non-acaulescent,rainforest
Syagrus_cearensis,non-acaulescent,rainforest
Syagrus_cocoides,non-acaulescent,rainforest
Syagrus_inajai,non-acaulescent,rainforest
Syagrus_smithii,non-acaulescent,rainforest
Syagrus_vermicularis,non-acaulescent,rainforest
Syagrus_pseudococos,non-acaulescent,rainforest
Syagrus_sancona,non-acaulescent,rainforest
Syagrus_stratincola,non-acaulescent,rainforest
Syagrus_botryophora,non-acaulescent,rainforest
Syagrus_amara,non-acaulescent,seasonally dry
Syagrus_stenopetala,non-acaulescent,seasonally dry
Syagrus_orinocensis,non-acaulescent,rainforest
Syagrus_coronata,non-acaulescent,seasonally dry
Syagrus_vagans,acaulescent,seasonally dry
Syagrus_werdermannii,acaulescent,seasonally dry
Syagrus_longipedunculata,non-acaulescent,seasonally dry
Syagrus_microphylla,acaulescent,seasonally dry
Syagrus_ruschiana,non-acaulescent,seasonally dry
Butia_purpurascens,non-acaulescent,seasonally dry
Butia_missionera,non-acaulescent,rainforest
Butia_quaraimana,non-acaulescent,rainforest
Butia_capitata,non-acaulescent,seasonally dry
Butia_lallemantii,acaulescent,seasonally dry
Butia_exilata,non-acaulescent,rainforest
Butia_archeri,acaulescent,seasonally dry
Butia_noblickii,non-acaulescent,seasonally dry
Butia_odorata,non-acaulescent,seasonally dry
Butia_eriospatha,non-acaulescent,seasonally dry
Butia_matogrossensis,acaulescent,seasonally dry
Butia_microspadix,acaulescent,seasonally dry
Butia_campicola,acaulescent,seasonally dry
Butia_leptospatha,acaulescent,seasonally dry
Butia_exospadix,acaulescent,seasonally dry
Butia_catarinensis,non-acaulescent,seasonally dry
Butia_paraguayensis,non-acaulescent,seasonally dry
Butia_yatay,non-acaulescent,seasonally dry
Butia_marmorii,acaulescent,seasonally dry
Butia_stolonifera,acaulescent,rainforest
Jubaea_chilensis,non-acaulescent,seasonally dry
Cocos_nucifera,non-acaulescent,rainforest
Parajubaea_torallyi,non-acaulescent,seasonally dry
Parajubaea_cocoides,non-acaulescent,seasonally dry
Parajubaea_sunkha,non-acaulescent,seasonally dry
Allagoptera_caudescens,non-acaulescent,rainforest
Allagoptera_arenaria,acaulescent,rainforest
Allagoptera_leucocalyx,acaulescent,rainforest
Allagoptera_brevicalyx,acaulescent,seasonally dry
Allagoptera_campestris,acaulescent,seasonally dry
Jubaeopsis_caffra,non-acaulescent,seasonally dry
Voanioala_gerardii,non-acaulescent,rainforest
Beccariophoenix_madagascariensis,non-acaulescent,rainforest
Beccariophoenix_alfredii,non-acaulescent,seasonally dry
