Iteration	Posterior	Likelihood	Prior	q_01	q_10	root_frequencies[1]	root_frequencies[2]
137	-47.63512	-48.83023	1.195114	0.09247235	0.1442249	0.293344	0.706656
138	-48.33566	-48.79831	0.4626486	0.09247235	0.2115053	0.635359	0.364641
139	-46.46024	-47.94815	1.487907	0.07034756	0.1461273	0.628469	0.371531
140	-46.48802	-47.93828	1.450257	0.05913138	0.1651979	0.246115	0.753885
141	-46.6729	-48.14791	1.475011	0.05070434	0.1761243	0.492483	0.507517
142	-46.80875	-48.48351	1.674765	0.04023844	0.1761243	0.750125	0.249875
143	-46.76753	-48.65443	1.886902	0.03449897	0.1679915	0.29456	0.70544
144	-45.92646	-47.84255	1.91609	0.05184915	0.1351878	0.293924	0.706076
145	-47.52618	-48.35351	0.8273328	0.08033276	0.1928015	0.825801	0.174199
146	-47.20551	-49.34475	2.13924	0.07968541	0.08312148	0.719262	0.280738
147	-45.64131	-47.87114	2.229836	0.04834786	0.114401	0.524556	0.475444
148	-46.39062	-48.23336	1.842737	0.07185198	0.114401	0.386169	0.613831
149	-46.42221	-48.23039	1.808174	0.07185198	0.1171975	0.172174	0.827826
150	-46.0504	-48.47375	2.423347	0.0587677	0.08572431	0.172174	0.827826
151	-46.9762	-48.73639	1.760188	0.08052498	0.1108617	0.172174	0.827826
152	-45.43758	-47.93607	2.498493	0.04758962	0.09456974	0.827826	0.172174
153	-45.4084	-48.1227	2.714295	0.04758962	0.07895441	0.928608	0.071392
154	-45.55092	-48.72472	3.173801	0.03711736	0.06238396	0.928608	0.071392
155	-45.42486	-48.05146	2.626603	0.04798199	0.08463594	0.861476	0.138524
156	-45.79506	-48.48456	2.689501	0.04110937	0.08969149	0.0387138	0.961286
157	-46.01994	-48.36919	2.349251	0.03720491	0.1226528	0.0387138	0.961286
158	-47.69785	-48.53379	0.8359356	0.08854318	0.1812962	0.0387138	0.961286
159	-49.19724	-49.39737	0.2001344	0.1092287	0.2157921	0.0387138	0.961286
160	-48.9059	-49.96488	1.058978	0.1092287	0.1371642	0.0760511	0.923949
161	-49.09039	-50.3174	1.227002	0.1092287	0.1230308	0.0172674	0.982733
162	-50.11534	-51.89206	1.77672	0.1092287	0.08080733	0.982733	0.0172674
163	-49.29446	-50.9486	1.654141	0.1039633	0.09459361	0.0172674	0.982733
164	-48.40841	-49.2469	0.8384917	0.1039633	0.1624142	0.949362	0.0506381
165	-50.45072	-50.30144	-0.149274	0.1294002	0.2257341	0.0318335	0.968167
166	-50.29957	-50.76124	0.4616706	0.1294002	0.168092	0.0318335	0.968167
167	-48.36797	-49.15906	0.7910968	0.1027642	0.168092	0.374192	0.625808
168	-46.75613	-48.0137	1.257571	0.06927507	0.168092	0.0930485	0.906951
169	-46.62686	-47.94705	1.320193	0.06522928	0.168092	0.906951	0.0930485
170	-45.56679	-48.09599	2.529202	0.04013709	0.1033018	0.799982	0.200018
171	-46.16112	-48.73951	2.578394	0.03238117	0.1128143	0.0811139	0.918886
172	-45.55983	-48.57956	3.01973	0.04520079	0.06179709	0.881506	0.118494
173	-45.74388	-48.38306	2.639186	0.03969295	0.09558678	0.156296	0.843704
174	-45.76836	-48.15043	2.382068	0.05331824	0.09558678	0.156296	0.843704
175	-45.64791	-47.86381	2.215895	0.04635969	0.1185294	0.774643	0.225357
176	-45.63855	-48.29558	2.65703	0.03959567	0.09439666	0.431038	0.568962
177	-46.01129	-47.87121	1.859922	0.06284874	0.1243876	0.431038	0.568962
178	-46.5288	-48.20785	1.67905	0.04512079	0.1669243	0.431038	0.568962
179	-46.47055	-48.04465	1.574095	0.05080052	0.1669243	0.848398	0.151602
180	-45.56688	-48.21715	2.650263	0.03793634	0.09752939	0.846442	0.153558
181	-45.53298	-48.61955	3.086565	0.03793634	0.06680194	0.864657	0.135343
182	-45.90383	-48.70784	2.804008	0.05267053	0.06680194	0.562125	0.437875
183	-45.70482	-48.26256	2.557746	0.05213708	0.08420045	0.437875	0.562125
184	-45.94483	-48.83594	2.891106	0.05213708	0.06188798	0.617385	0.382615
185	-46.34709	-49.17486	2.827767	0.05579622	0.06188798	0.345877	0.654123
186	-45.45492	-48.14819	2.693276	0.04416621	0.0850266	0.728853	0.271147
187	-45.63774	-47.89626	2.258522	0.04497201	0.1172046	0.808462	0.191538
188	-47.42269	-48.50972	1.087031	0.08769262	0.1594898	0.199847	0.800153
189	-48.27079	-48.73834	0.4675505	0.07981071	0.2280345	0.199847	0.800153
190	-47.65133	-48.74407	1.09274	0.04880564	0.2154134	0.241587	0.758413
191	-47.79011	-49.81744	2.027326	0.01686521	0.2013881	0.654117	0.345883
192	-46.15836	-48.94859	2.790231	0.03032083	0.1000716	0.345883	0.654117
193	-45.82062	-47.81906	1.998443	0.05460015	0.1242348	0.328042	0.671958
194	-47.35953	-48.45218	1.092649	0.05474575	0.2053254	0.185726	0.814274
195	-46.93304	-48.08507	1.152028	0.06650024	0.181695	0.145873	0.854127
196	-46.66105	-47.96854	1.307489	0.06650024	0.1674419	0.406957	0.593043
197	-46.38819	-48.47369	2.085502	0.07037379	0.09714728	0.48367	0.51633
198	-46.20709	-47.84044	1.633354	0.0575562	0.1511914	0.528586	0.471414
199	-49.54845	-49.55061	0.002151683	0.111197	0.2326553	0.381488	0.618512
200	-48.90258	-49.08365	0.1810653	0.08857555	0.244167	0.165911	0.834089
201	-47.63544	-48.51199	0.8765544	0.08857555	0.1775042	0.755366	0.244634
202	-46.86	-48.12147	1.261472	0.05810323	0.1840681	0.55123	0.44877
203	-46.44727	-48.1283	1.681033	0.07252235	0.1268429	0.268374	0.731626
204	-47.55339	-48.36299	0.8095957	0.07354939	0.2038202	0.3693	0.6307
205	-46.4831	-48.16471	1.681611	0.04588174	0.1653822	0.928434	0.071566
206	-46.66258	-48.84291	2.180333	0.03050167	0.150141	0.45495	0.54505
207	-46.64584	-49.67439	3.028551	0.02483159	0.09293948	0.45495	0.54505
208	-46.66769	-49.62174	2.954053	0.02483159	0.09855566	0.477693	0.522307
209	-45.68989	-48.27946	2.589568	0.0402013	0.09855566	0.275007	0.724993
210	-45.93713	-49.12511	3.187977	0.03152265	0.06958344	0.635984	0.364016
211	-45.66898	-48.40103	2.732047	0.03946483	0.08903822	0.364016	0.635984
212	-45.64586	-48.63875	2.992888	0.03979634	0.07037515	0.596869	0.403131
213	-45.90454	-48.84207	2.937535	0.03400139	0.08275968	0.33449	0.66551
214	-45.37279	-48.12531	2.752523	0.0436506	0.08152183	0.926147	0.0738531
215	-45.39419	-48.18597	2.791785	0.04659496	0.07490208	0.971304	0.0286961
216	-45.40079	-48.18431	2.783523	0.04703629	0.07490208	0.971304	0.0286961
217	-46.05838	-49.17883	3.12046	0.03279613	0.07206491	0.341746	0.658254
218	-47.07295	-49.97397	2.901023	0.02201619	0.109118	0.799998	0.200002
219	-47.20722	-50.23068	3.023459	0.02099009	0.1020499	0.609053	0.390947
220	-46.2087	-48.60498	2.396286	0.03308987	0.1263569	0.748164	0.251836
221	-45.46962	-48.28494	2.815324	0.04167836	0.07984863	0.748164	0.251836
222	-45.80384	-48.65353	2.849696	0.04167836	0.07746146	0.227895	0.772105
223	-45.7329	-47.80263	2.069737	0.05846544	0.113093	0.849099	0.150901
224	-45.95433	-48.10949	2.155155	0.04106317	0.1321563	0.744258	0.255742
225	-45.85975	-47.88568	2.025928	0.04775118	0.1321563	0.545295	0.454705
226	-46.24897	-48.54255	2.293584	0.0345632	0.1321563	0.061466	0.938534
227	-46.06436	-48.45744	2.393083	0.0345632	0.1238295	0.968218	0.0317819
228	-46.47792	-48.63727	2.159346	0.07241667	0.08934665	0.921091	0.0789091
229	-46.44914	-48.34324	1.894101	0.07241667	0.1096178	0.333817	0.666183
230	-45.95904	-48.63374	2.674704	0.05711153	0.07026493	0.666183	0.333817
231	-46.28445	-49.40254	3.118091	0.05245225	0.04833697	0.657137	0.342863
232	-46.651	-50.37702	3.726023	0.03246473	0.03781621	0.542877	0.457123
233	-46.32364	-49.56515	3.241509	0.05311235	0.04131364	0.883017	0.116983
234	-46.01135	-49.61054	3.599185	0.0348436	0.04131364	0.910287	0.0897132
235	-46.3772	-50.0306	3.6534	0.03037585	0.04385696	0.710565	0.289435
236	-45.81866	-49.06001	3.241351	0.04306858	0.05114154	0.770623	0.229377
237	-46.40623	-49.993	3.586775	0.02765562	0.05114154	0.735716	0.264284
238	-46.44285	-50.14081	3.697966	0.0295778	0.04259044	0.735716	0.264284
239	-47.34162	-50.4339	3.092277	0.02006111	0.09907501	0.735716	0.264284
240	-47.4064	-50.49868	3.092277	0.02006111	0.09907501	0.0863722	0.913628
241	-47.12988	-49.73004	2.600153	0.02044813	0.1380651	0.631882	0.368118
242	-46.88249	-48.98044	2.097954	0.028287	0.1624048	0.549986	0.450014
243	-46.96823	-49.26411	2.29588	0.02130338	0.1624048	0.200686	0.799314
244	-46.40651	-48.10029	1.693778	0.04699064	0.1624048	0.874579	0.125421
245	-46.30127	-47.89692	1.59565	0.06824087	0.1395774	0.739939	0.260061
246	-45.83744	-47.82842	1.990981	0.05943401	0.1181675	0.599391	0.400609
247	-46.33472	-48.29538	1.960652	0.06917135	0.1082301	0.0852501	0.91475
248	-46.69727	-47.97833	1.281069	0.06917135	0.1661058	0.764582	0.235418
249	-46.96142	-48.13152	1.170092	0.07661612	0.1661058	0.510635	0.489365
250	-46.97261	-48.1427	1.170092	0.07661612	0.1661058	0.197726	0.802274
251	-46.38705	-47.86188	1.474832	0.06231567	0.1583347	0.967613	0.0323872
252	-46.40104	-47.8717	1.470662	0.06257554	0.1583347	0.771461	0.228539
253	-46.31669	-47.87703	1.560346	0.05710784	0.1583347	0.786456	0.213544
254	-46.67401	-49.24142	2.56741	0.02657994	0.1255875	0.168617	0.831383
255	-46.44176	-49.30555	2.86379	0.02657994	0.1017923	0.703448	0.296552
256	-47.24239	-50.04262	2.800234	0.009931234	0.1595955	0.489526	0.510474
257	-47.01679	-49.35121	2.334419	0.02107508	0.1595955	0.434468	0.565532
258	-45.70367	-47.9748	2.271137	0.05732917	0.09880323	0.658153	0.341847
259	-46.75906	-48.08054	1.321478	0.05732917	0.1797054	0.51247	0.48753
260	-46.75495	-48.07643	1.321478	0.05732917	0.1797054	0.823146	0.176854
261	-47.0595	-48.6088	1.549302	0.08336044	0.1247573	0.310043	0.689957
262	-47.38542	-48.33992	0.9545002	0.08336044	0.1769824	0.842474	0.157526
263	-46.77061	-48.01565	1.245045	0.06382887	0.1769824	0.983959	0.0160412
264	-45.92993	-47.81526	1.885329	0.05544203	0.132502	0.25788	0.74212
265	-46.40423	-48.48327	2.07904	0.03604741	0.1477871	0.74212	0.25788
266	-47.75177	-48.56576	0.8139831	0.06318384	0.2187034	0.93121	0.06879
267	-47.91597	-48.55803	0.6420552	0.0744021	0.2187034	0.93121	0.06879
268	-47.18615	-48.19957	1.013425	0.07634315	0.1808095	0.239435	0.760565
269	-47.50531	-48.4024	0.8970909	0.08449892	0.1808095	0.150339	0.849661
270	-47.49722	-48.39432	0.8970909	0.08449892	0.1808095	0.526553	0.473447
271	-49.4849	-50.74446	1.25956	0.112906	0.1165894	0.587675	0.412325
272	-49.4849	-50.74446	1.25956	0.112906	0.1165894	0.587675	0.412325
273	-52.23139	-52.22347	-0.007920192	0.1548391	0.1842002	0.500824	0.499176
274	-48.62642	-49.23323	0.6068068	0.1056762	0.1815659	0.633066	0.366934
275	-51.72098	-51.56579	-0.1551926	0.1496415	0.2036069	0.402588	0.597412
276	-50.95211	-51.59185	0.6397415	0.1346484	0.1466938	0.430417	0.569583
277	-51.19667	-52.00054	0.8038737	0.1346484	0.1325751	0.820602	0.179398
278	-48.70777	-49.49553	0.7877612	0.1081195	0.1622082	0.482529	0.517471
279	-48.69787	-49.48563	0.7877612	0.1081195	0.1622082	0.818741	0.181259
280	-50.98483	-50.5538	-0.4310279	0.1344597	0.2475832	0.566806	0.433194
281	-51.25794	-50.63664	-0.6212938	0.1344597	0.2666346	0.658855	0.341145
282	-51.97532	-51.81526	-0.1600609	0.1529176	0.200535	0.465477	0.534523
283	-48.82045	-49.16749	0.3470487	0.1040684	0.2079834	0.374196	0.625804
284	-49.00966	-49.31037	0.3007033	0.1076993	0.2079834	0.592789	0.407211
285	-48.25136	-49.2478	0.9964393	0.1019219	0.150701	0.876129	0.123871
286	-45.96818	-48.24447	2.276291	0.05935052	0.09586408	0.123871	0.876129
287	-46.39955	-49.06817	2.668621	0.06414605	0.06327736	0.876129	0.123871
288	-46.61775	-49.23462	2.616871	0.06745449	0.06327736	0.91875	0.0812496
289	-45.72372	-48.11377	2.390046	0.05745092	0.08974286	0.704708	0.295292
290	-46.09985	-47.84549	1.745639	0.05313797	0.147957	0.76209	0.23791
291	-46.11253	-47.85817	1.745639	0.05313797	0.147957	0.548919	0.451081
292	-47.23623	-48.35387	1.117639	0.05635791	0.2003318	0.384711	0.615289
293	-47.27588	-48.55766	1.281778	0.04710172	0.2003318	0.930499	0.0695007
294	-45.84907	-47.94514	2.096073	0.06233384	0.1059957	0.83012	0.16988
295	-46.42275	-47.88978	1.467031	0.06233384	0.1590056	0.431631	0.568369
296	-51.03116	-50.91539	-0.115773	0.06233384	0.3136067	0.697626	0.302374
297	-51.70074	-52.02472	0.3239803	0.0381598	0.3136067	0.50334	0.49666
298	-50.10981	-50.76611	0.6562992	0.0381598	0.2794506	0.862038	0.137962
299	-49.76892	-50.37431	0.6053939	0.04311518	0.274374	0.714571	0.285429
300	-47.22616	-48.99943	1.773273	0.03058871	0.1868853	0.823965	0.176035
301	-47.1757	-48.92721	1.751513	0.03148973	0.1868853	0.503659	0.496341
